UID,APPROPRIATENESS,CONTENT_RICHNESS,GRAMMATICAL_CORRECTNESS,RELEVANCE
TEST-000000-0001,4.5,4.0,4.5,5.0
TEST-000001-0001,2.5,2.0,3.5,1.0
TEST-000002-0001,4.5,4.5,5.0,5.0
TEST-000002-0002,3.0,4.333333333333333,4.5,2.0
TEST-000002-0003,3.75,4.333333333333333,4.5,4.5
TEST-000003-0001,3.0,3.75,4.5,3.5
TEST-000004-0001,3.0,1.0,1.0,0.0
TEST-000004-0002,3.5,2.0,4.5,2.0
TEST-000004-0003,4.5,2.0,4.5,3.0
TEST-000004-0004,2.5,4.5,4.5,2.0
TEST-000004-0005,4.75,4.0,4.5,3.0
TEST-000004-0006,3.5,2.0,4.5,2.0
TEST-000004-0007,4.25,4.0,4.5,3.5
TEST-000004-0008,4.25,2.0,4.5,3.0
TEST-000004-0009,4.25,4.0,4.5,3.0
TEST-000004-0010,4.25,2.0,5.0,2.0
TEST-000004-0011,4.8,4.0,4.5,3.5
TEST-000004-0012,2.0,2.0,4.0,1.0
TEST-000004-0013,4.25,2.0,5.0,3.0
TEST-000004-0014,2.5,1.0,2.0,2.0
TEST-000004-0015,4.8,4.0,5.0,4.5
TEST-000004-0016,4.0,1.0,5.0,2.0
TEST-000004-0017,4.5,4.333333333333333,4.5,4.5
TEST-000004-0018,3.0,1.0,1.0,1.0
TEST-000004-0019,2.5,1.0,5.0,1.0
TEST-000004-0020,3.0,1.0,3.0,1.0
TEST-000004-0021,2.5,4.0,2.0,2.0
TEST-000004-0022,2.0,1.0,2.0,1.0
TEST-000004-0023,2.5,2.0,4.5,1.0
TEST-000004-0024,2.0,2.0,2.0,1.0
TEST-000004-0025,3.5,2.0,4.5,1.0
TEST-000004-0026,2.5,1.0,3.5,1.0
TEST-000004-0027,3.5,2.0,4.5,1.0
TEST-000004-0028,2.5,1.0,3.5,1.0
TEST-000004-0029,3.5,2.0,4.5,1.0
TEST-000004-0030,2.5,1.0,4.5,1.0
TEST-000004-0031,3.5,1.0,4.5,1.0
TEST-000004-0032,2.5,1.0,5.0,1.0
TEST-000004-0033,3.5,2.0,4.5,5.0
TEST-000004-0034,2.5,1.0,2.0,1.0
TEST-000004-0035,2.5,2.0,4.5,2.0
TEST-000004-0036,2.5,1.0,5.0,1.0
TEST-000004-0037,3.5,2.0,4.5,3.0
TEST-000004-0038,2.0,1.0,2.0,1.0
TEST-000004-0039,4.25,2.0,4.5,5.0
TEST-000004-0040,2.5,1.0,5.0,1.0
TEST-000004-0041,4.25,2.0,4.5,2.0
TEST-000005-0001,4.0,4.0,4.5,4.5
TEST-000005-0002,3.5,2.5,4.5,2.5
TEST-000005-0003,4.5,3.6666666666666665,4.5,3.6666666666666665
TEST-000006-0001,2.5,4.0,3.5,4.0
TEST-000006-0002,4.75,1.0,0.5,2.0
TEST-000006-0003,1.5,1.0,0.0,0.5
TEST-000007-0001,2.5,1.0,0.5,0.2
TEST-000007-0002,2.5,1.0,0.5,2.0
TEST-000007-0003,2.5,1.0,0.5,2.0
TEST-000007-0004,3.5,3.5,1.0,2.5
TEST-000007-0005,1.0,4.0,5.0,0.0
TEST-000007-0006,2.0,1.0,0.2,2.0
TEST-000007-0007,1.0,4.0,1.0,5.0
TEST-000007-0008,3.5,1.0,0.0,2.0
TEST-000007-0009,2.0,1.0,0.0,4.0
TEST-000007-0010,4.5,4.0,1.0,4.5
TEST-000007-0011,2.0,1.0,0.0,5.0
TEST-000007-0012,4.5,3.5,0.5,4.5
TEST-000007-0013,1.0,1.0,1.0,5.0
TEST-000007-0014,3.5,1.0,0.0,2.5
TEST-000007-0015,1.0,1.0,1.0,4.5
TEST-000007-0016,1.0,4.5,0.0,5.0
TEST-000007-0017,4.5,1.0,1.0,4.0
TEST-000007-0018,3.5,4.5,0.5,4.0
TEST-000007-0019,2.0,4.5,0.5,4.0
TEST-000007-0020,4.25,3.5,0.5,4.5
TEST-000007-0021,1.0,1.0,0.5,5.0
TEST-000007-0022,2.5,1.0,0.0,4.0
TEST-000007-0023,2.5,4.5,0.0,4.0
TEST-000007-0024,2.5,1.0,0.0,4.0
