UID,APPROPRIATENESS,CONTENT_RICHNESS,GRAMMATICAL_CORRECTNESS,RELEVANCE
TEST-000000-0001,3.28125,2.701171875,4.07421875,3.060546875
TEST-000001-0001,2.892578125,2.701171875,3.87109375,2.546875
TEST-000002-0001,3.13671875,2.59765625,3.24609375,2.880859375
TEST-000002-0002,3.212890625,2.5546875,3.529296875,2.919921875
TEST-000002-0003,3.12890625,2.513671875,3.091796875,2.771484375
TEST-000003-0001,2.962890625,2.73046875,3.935546875,2.853515625
TEST-000004-0001,3.029296875,2.59375,3.328125,2.578125
TEST-000004-0002,3.1328125,2.619140625,3.64453125,2.765625
TEST-000004-0003,2.982421875,2.6328125,3.220703125,2.501953125
TEST-000004-0004,2.984375,2.54296875,1.9697265625,2.751953125
TEST-000004-0005,3.240234375,2.65234375,1.95703125,2.876953125
TEST-000004-0006,3.193359375,2.609375,3.470703125,2.7734375
TEST-000004-0007,3.228515625,2.556640625,3.009765625,2.87109375
TEST-000004-0008,3.171875,2.611328125,3.140625,2.90625
TEST-000004-0009,3.26953125,2.634765625,3.076171875,2.83984375
TEST-000004-0010,3.12109375,2.599609375,1.8583984375,2.744140625
TEST-000004-0011,2.591796875,2.609375,1.8427734375,2.138671875
TEST-000004-0012,3.28515625,2.580078125,3.076171875,2.720703125
TEST-000004-0013,2.83984375,2.623046875,2.033203125,2.419921875
TEST-000004-0014,2.62109375,2.6015625,1.908203125,2.189453125
TEST-000004-0015,3.267578125,2.580078125,2.869140625,2.849609375
TEST-000004-0016,2.82421875,2.556640625,2.630859375,2.310546875
TEST-000004-0017,2.162109375,2.5859375,1.5595703125,1.603515625
TEST-000004-0018,2.77734375,2.517578125,3.20703125,2.435546875
TEST-000004-0019,2.669921875,2.60546875,1.78125,2.146484375
TEST-000004-0020,2.78515625,2.55859375,1.5712890625,2.35546875
TEST-000004-0021,2.525390625,2.701171875,1.685546875,2.2109375
TEST-000004-0022,3.029296875,2.5859375,2.923828125,2.498046875
TEST-000004-0023,3.111328125,2.671875,2.53515625,2.546875
TEST-000004-0024,2.962890625,2.640625,1.56640625,2.412109375
TEST-000004-0025,2.607421875,2.775390625,1.6982421875,2.125
TEST-000004-0026,2.544921875,2.71484375,1.7041015625,2.150390625
TEST-000004-0027,2.576171875,2.71875,1.6611328125,2.134765625
TEST-000004-0028,2.591796875,2.73828125,1.712890625,2.265625
TEST-000004-0029,2.61328125,2.703125,1.64453125,2.1484375
TEST-000004-0030,2.646484375,2.697265625,1.697265625,2.251953125
TEST-000004-0031,2.5703125,2.650390625,1.626953125,2.109375
TEST-000004-0032,2.619140625,2.69140625,1.638671875,2.16015625
TEST-000004-0033,2.58203125,2.798828125,1.6787109375,2.126953125
TEST-000004-0034,2.59375,2.705078125,1.697265625,2.1875
TEST-000004-0035,2.56640625,2.75390625,1.623046875,2.123046875
TEST-000004-0036,2.583984375,2.673828125,1.6416015625,2.16015625
TEST-000004-0037,2.5859375,2.677734375,1.6220703125,2.13671875
TEST-000004-0038,2.5390625,2.716796875,1.619140625,2.0390625
TEST-000004-0039,2.55859375,2.73046875,1.58203125,2.046875
TEST-000004-0040,2.53125,2.71484375,1.6220703125,2.0625
TEST-000004-0041,2.453125,2.69921875,1.53515625,2.01953125
TEST-000005-0001,2.7265625,2.734375,2.994140625,2.068359375
TEST-000005-0002,2.85546875,2.6328125,3.15625,2.4453125
TEST-000005-0003,2.7109375,2.72265625,2.70703125,2.01171875
TEST-000006-0001,2.2734375,2.7265625,3.447265625,2.17578125
TEST-000006-0002,2.609375,2.625,3.060546875,2.3046875
TEST-000006-0003,2.595703125,2.439453125,3.333984375,2.369140625
TEST-000007-0001,2.7734375,2.6015625,3.595703125,2.529296875
TEST-000007-0002,3.15234375,2.708984375,3.578125,2.625
